,price_usd_per_m2,property_type,place_name,surface_total_in_m2,surface_covered_in_m2,ambientes,parrilla
23682,2994.0731707317077,apartment,Villa Crespo,41.0,37.0,3.0,0
23683,3001.857142857143,apartment,Villa Crespo,42.0,38.0,3.0,0
23685,3136.842105263158,apartment,Palermo,95.0,86.0,4.0,0
23686,3004.425,apartment,Villa Crespo,40.0,36.0,3.0,0
23687,2382.3529411764707,apartment,Paternal,34.0,32.0,1.0,1
23692,3000.4054054054054,apartment,Villa Crespo,37.0,35.0,3.0,0
23693,2365.5913978494627,apartment,Belgrano,93.0,66.0,2.0,1
23696,2215.1898734177216,apartment,Villa Crespo,79.0,65.0,3.0,0
23698,2647.0588235294117,apartment,Belgrano,102.0,97.0,4.0,0
23699,3189.2352941176478,apartment,Villa Crespo,34.0,29.0,3.0,0
23700,2542.364406779661,apartment,Villa Urquiza,118.0,89.0,4.0,1
23703,2365.384615384615,apartment,Villa Urquiza,52.0,47.0,4.0,1
23704,3214.529411764706,apartment,Villa Crespo,34.0,31.0,3.0,0
23706,1861.111111111111,apartment,Balvanera,72.0,70.0,3.0,0
23709,2423.076923076923,apartment,Villa Urquiza,52.0,47.0,4.0,1
23710,3257.3142857142852,apartment,Villa Crespo,35.0,32.0,3.0,0
23712,3219.085714285715,apartment,Villa Crespo,35.0,30.0,3.0,0
23713,2423.076923076923,apartment,Villa Urquiza,52.0,47.0,4.0,1
23715,3223.416666666666,apartment,Villa Crespo,36.0,30.0,3.0,0
23716,2844.4444444444453,apartment,Caballito,45.0,42.0,3.0,0
23718,2461.538461538461,apartment,Villa Urquiza,52.0,47.0,4.0,1
23719,3053.9512195121947,apartment,Villa Crespo,41.0,37.0,3.0,0
23720,2872.340425531915,apartment,Caballito,47.0,45.0,2.0,0
23722,3061.8809523809527,apartment,Villa Crespo,42.0,38.0,3.0,0
23723,2461.538461538461,apartment,Villa Urquiza,52.0,47.0,4.0,1
23726,2480.769230769231,apartment,Villa Urquiza,52.0,47.0,4.0,1
23727,3060.452380952381,apartment,Villa Crespo,42.0,38.0,3.0,0
23730,2500.0,apartment,Villa Urquiza,52.0,47.0,4.0,1
23731,3060.4054054054054,apartment,Villa Crespo,37.0,35.0,3.0,0
23732,2304.3478260869565,apartment,Villa Urquiza,92.0,72.0,4.0,1
23734,3326.818181818182,apartment,Villa Crespo,33.0,30.0,3.0,0
23735,2376.4705882352937,apartment,Villa Urquiza,85.0,72.0,4.0,1
23738,3314.7428571428572,apartment,Villa Crespo,35.0,32.0,3.0,0
23739,2376.4705882352937,apartment,Villa Urquiza,85.0,72.0,4.0,1
23741,3129.105263157894,apartment,Villa Crespo,38.0,34.0,3.0,0
23742,2400.0,apartment,Villa Urquiza,85.0,72.0,4.0,1
23743,3484.848484848485,apartment,Villa Urquiza,33.0,33.0,1.0,0
23744,1839.1484375,apartment,Villa Crespo,128.0,55.0,3.0,0
23745,2696.969696969697,apartment,Belgrano,330.0,300.0,5.0,0
23747,2435.294117647059,apartment,Villa Urquiza,85.0,72.0,4.0,1
23748,2010.144927536232,apartment,Villa Ortuzar,69.0,52.0,2.0,1
23749,3152.2162162162163,apartment,Villa Crespo,37.0,35.0,3.0,0
23751,2435.294117647059,apartment,Villa Urquiza,85.0,72.0,4.0,1
23752,3145.914285714285,apartment,Villa Crespo,35.0,29.0,3.0,0
23753,2489.36170212766,apartment,Villa Urquiza,47.0,40.0,2.0,1
23754,3222.9736842105267,apartment,Villa Crespo,38.0,34.0,3.0,0
23755,2435.294117647059,apartment,Villa Urquiza,85.0,72.0,4.0,1
23758,3257.035087719298,apartment,Villa Crespo,57.0,52.0,3.0,0
23760,2458.8235294117653,apartment,Villa Urquiza,85.0,72.0,4.0,1
23761,3120.1132075471696,apartment,Villa Crespo,53.0,41.0,3.0,0
23764,2640.0,apartment,Villa Urquiza,100.0,89.0,4.0,1
23765,3220.522388059701,apartment,Villa Crespo,67.0,56.0,3.0,0
23766,2464.788732394366,apartment,Villa del Parque,71.0,68.0,4.0,0
23768,2150.0,apartment,Villa Ortuzar,58.0,46.0,2.0,1
23769,2690.0,apartment,Villa Urquiza,100.0,89.0,4.0,1
23770,2817.2391304347825,apartment,Villa Crespo,92.0,63.0,3.0,0
23771,1844.342380952381,apartment,Villa Luro,42.0,40.0,2.0,0
23772,2800.0,apartment,Recoleta,25.0,25.0,1.0,0
23773,2710.0,apartment,Villa Urquiza,100.0,89.0,4.0,1
23775,1814.1064285714285,apartment,Villa Luro,42.0,40.0,2.0,0
23777,3048.2058823529414,apartment,Villa Crespo,68.0,54.0,3.0,0
23778,2740.0,apartment,Villa Urquiza,100.0,89.0,4.0,1
23779,2628.2051282051284,apartment,Palermo,78.0,76.0,4.0,0
23780,2780.0,apartment,Villa Urquiza,100.0,89.0,4.0,1
23781,2234.848484848485,apartment,Caballito,132.0,132.0,4.0,0
23782,1743.9228301886792,apartment,Villa Luro,53.0,40.0,2.0,0
23783,2300.0,apartment,Villa Urquiza,60.0,49.0,4.0,1
23784,1796.3814545454545,apartment,Villa Luro,55.0,52.0,3.0,0
23785,2400.0,apartment,Villa Urquiza,60.0,49.0,4.0,1
23786,2416.6666666666665,apartment,Villa Urquiza,60.0,49.0,4.0,1
23787,1780.198510638298,apartment,Villa Luro,47.0,44.0,2.0,0
23789,2416.6666666666665,apartment,Villa Urquiza,60.0,49.0,4.0,1
23790,1809.867872340425,apartment,Villa Luro,47.0,44.0,2.0,0
23791,2450.0,apartment,Villa Urquiza,60.0,49.0,4.0,1
23792,1758.1391304347824,apartment,Villa Luro,46.0,43.0,2.0,0
23793,2450.0,apartment,Villa Urquiza,60.0,49.0,4.0,1
23794,2516.6666666666665,apartment,Villa Urquiza,60.0,49.0,4.0,1
23795,1819.118888888889,apartment,Villa Luro,45.0,42.0,2.0,0
23796,5175.438596491228,apartment,Palermo,57.0,52.0,2.0,0
23797,2516.6666666666665,apartment,Villa Urquiza,60.0,49.0,4.0,1
23798,1764.467222222222,apartment,Villa Luro,54.0,41.0,2.0,0
23799,2205.432894736842,apartment,Villa Luro,38.0,34.0,1.0,0
23802,2553.191489361701,apartment,Palermo,47.0,42.0,1.0,0
23803,2666.6666666666665,apartment,Villa del Parque,33.0,30.0,1.0,0
23804,3048.780487804879,apartment,Belgrano,41.0,36.0,2.0,0
23807,2125.0,apartment,Villa del Parque,64.0,61.0,4.0,0
23808,3733.333333333334,apartment,Recoleta,75.0,70.0,2.0,0
23809,5089.285714285715,apartment,Palermo,56.0,51.0,2.0,0
23810,3928.571428571429,apartment,Recoleta,42.0,38.0,2.0,0
23811,2265.8227848101264,apartment,Palermo,79.0,64.0,3.0,0
23815,4456.521739130435,apartment,Palermo Chico,184.0,184.0,4.0,0
